ssl_score,race,sex,age,count
203,Unknown-Not-Listed,Men,40-50,6
203,Unknown-Not-Listed,Women,40-50,2
203,White,Men,50-60,24
203,Black,Men,40-50,456
203,White,Women,40-50,78
203,Black,Men,20-30,1
203,Hispanic,Men,40-50,203
203,Black,Men,60-70,1
203,Hispanic,Men,50-60,18
203,Hispanic,Men,<20,1
203,Hispanic,Women,50-60,1
203,Asian,Men,50-60,1
203,White,Men,40-50,238
203,Asian,Women,40-50,5
203,Hispanic,Women,40-50,40
203,Black,Women,40-50,152
203,White,Women,50-60,8
203,Black,Men,50-60,115
203,Asian,Men,40-50,8
204,White,Women,40-50,22
204,Hispanic,Men,40-50,65
204,Hispanic,Men,50-60,10
204,Unknown-Not-Listed,Men,40-50,2
204,White,Men,50-60,18
204,Black,Men,40-50,196
204,Asian,Men,50-60,2
204,White,Women,50-60,2
204,Black,Women,40-50,57
204,Black,Men,50-60,102
204,Asian,Men,40-50,2
204,Hispanic,Women,40-50,11
204,Asian,Women,40-50,1
204,Black,Men,60-70,1
204,White,Men,40-50,56
204,White,Men,30-40,1
204,Black,Women,50-60,15
205,Unknown-Not-Listed,Men,40-50,3
205,White,Men,50-60,19
205,Hispanic,Men,40-50,125
205,Hispanic,Women,40-50,36
205,Asian,Women,40-50,4
205,Black,Women,50-60,12
205,Hispanic,Men,50-60,15
205,Hispanic,Women,50-60,1
205,Black,Men,50-60,81
205,Black,Men,40-50,344
205,Black,Men,30-40,1
205,White,Women,50-60,1
205,Black,Men,60-70,1
205,White,Women,40-50,44
205,Asian,Men,40-50,12
205,Black,Women,40-50,90
205,White,Men,40-50,167
206,White,Women,40-50,123
206,White,Women,30-40,1
206,Hispanic,Other,50-60,1
206,Unknown-Not-Listed,Men,40-50,8
206,Asian,Women,40-50,5
206,White,Men,40-50,336
206,White,Women,50-60,8
206,Black,Men,40-50,542
206,Asian,Men,40-50,17
206,White,Men,50-60,37
206,Hispanic,Women,40-50,82
206,Black,Men,50-60,126
206,Black,Women,50-60,35
206,Black,Women,40-50,204
206,Black,Women,30-40,1
206,Hispanic,Men,50-60,20
206,Hispanic,Men,40-50,334
206,Black,Men,30-40,1
206,Asian,Men,50-60,2
206,Hispanic,Women,50-60,6
206,Hispanic,Other,40-50,1
207,Black,Men,60-70,1
207,Black,Men,30-40,2
207,Asian,Men,50-60,2
207,White,Other,40-50,1
207,Black,Men,50-60,82
207,White,Women,50-60,1
207,Hispanic,Women,40-50,46
207,White,Men,50-60,16
207,Asian,Men,40-50,17
207,Unknown-Not-Listed,Men,40-50,9
207,White,Men,40-50,241
207,Black,Women,50-60,20
207,Hispanic,Men,40-50,212
207,Hispanic,Men,50-60,10
207,Black,Women,40-50,211
207,Black,Men,40-50,519
207,White,Women,40-50,95
208,Hispanic,Men,40-50,62
208,White,Women,50-60,1
208,Hispanic,Women,40-50,13
208,Black,Men,50-60,67
208,Black,Women,40-50,52
208,Asian,Women,40-50,1
208,Hispanic,Men,50-60,8
208,Unknown-Not-Listed,Women,50-60,1
208,Black,Men,20-30,1
208,White,Men,50-60,10
208,Unknown-Not-Listed,Men,40-50,2
208,Black,Men,60-70,2
208,Black,Women,20-30,1
208,Black,Women,30-40,1
208,Black,Men,40-50,209
208,White,Men,40-50,70
208,White,Women,40-50,22
208,Asian,Men,40-50,3
208,Black,Men,30-40,1
208,Black,Women,50-60,11
209,White,Women,40-50,11
209,Black,Women,40-50,48
209,White,Women,50-60,2
209,Black,Men,50-60,52
209,Unknown-Not-Listed,Men,40-50,2
209,Hispanic,Women,40-50,8
209,White,Men,50-60,11
209,Black,Men,40-50,188
209,Hispanic,Men,40-50,44
209,White,Men,40-50,34
209,White,Women,30-40,1
209,Unknown-Not-Listed,Women,30-40,1
209,Hispanic,Women,50-60,1
209,Asian,Women,40-50,1
209,Hispanic,Men,50-60,4
209,Asian,Men,40-50,2
209,Black,Women,50-60,5
210,Hispanic,Men,50-60,3
210,White,Women,40-50,118
210,Black,Men,40-50,571
210,Hispanic,Men,40-50,322
210,Hispanic,Men,30-40,2
210,Unknown-Not-Listed,Men,50-60,1
210,White,Women,50-60,3
210,White,Women,30-40,1
210,Black,Men,30-40,3
210,Black,Men,60-70,1
210,Hispanic,Women,40-50,61
210,White,Men,50-60,13
210,Unknown-Not-Listed,Women,40-50,3
210,White,Men,40-50,324
210,Asian,Men,40-50,25
210,Asian,Women,40-50,13
210,Black,Women,30-40,3
210,Black,Men,50-60,73
210,Black,Women,50-60,7
210,Black,Women,40-50,197
210,Unknown-Not-Listed,Men,40-50,11
211,Hispanic,Men,20-30,1
211,Hispanic,Men,<20,1
211,Hispanic,Other,40-50,1
211,Unknown-Not-Listed,Men,50-60,2
211,Unknown-Not-Listed,Men,40-50,14
211,White,Men,30-40,1
211,Black,Men,50-60,67
211,Black,Men,30-40,6
211,White,Men,50-60,12
211,Asian,Women,40-50,7
211,Unknown-Not-Listed,Women,40-50,1
211,Hispanic,Women,50-60,1
211,White,Women,40-50,127
211,Asian,Men,50-60,1
211,Black,Women,50-60,8
211,Black,Men,40-50,704
211,Black,Women,40-50,297
211,Asian,Men,40-50,17
211,Hispanic,Men,30-40,4
211,White,Men,40-50,402
211,Hispanic,Men,50-60,9
211,White,Women,50-60,3
211,Hispanic,Women,40-50,92
211,Hispanic,Men,40-50,425
211,Black,Men,60-70,1
211,Black,Men,20-30,1
212,Black,Women,40-50,58
212,Asian,Men,40-50,2
212,Hispanic,Men,40-50,58
212,Hispanic,Men,50-60,6
212,Hispanic,Women,50-60,2
212,Black,Men,40-50,268
212,White,Men,40-50,65
212,White,Women,40-50,19
212,Hispanic,Women,40-50,11
212,Black,Men,50-60,42
212,Black,Women,50-60,8
212,Black,Men,30-40,2
212,White,Men,50-60,6
212,Black,Women,<20,1
212,Unknown-Not-Listed,Women,50-60,1
213,White,Men,40-50,79
213,Black,Women,30-40,1
213,Black,Women,40-50,62
213,Black,Men,20-30,2
213,White,Women,40-50,22
213,Hispanic,Women,40-50,14
213,White,Men,50-60,2
213,Black,Women,50-60,6
213,White,Women,50-60,2
213,Hispanic,Men,50-60,4
213,Unknown-Not-Listed,Women,40-50,1
213,Hispanic,Men,40-50,104
213,Asian,Men,40-50,1
213,Black,Men,50-60,41
213,Unknown-Not-Listed,Men,40-50,2
213,Asian,Women,40-50,1
213,Black,Men,60-70,3
213,Black,Men,40-50,261
213,Hispanic,Women,50-60,1
214,Black,Men,40-50,436
214,Black,Women,40-50,113
214,Black,Women,30-40,1
214,Hispanic,Men,50-60,6
214,Hispanic,Women,40-50,44
214,Unknown-Not-Listed,Men,40-50,5
214,White,Women,50-60,2
214,Asian,Women,40-50,2
214,White,Women,40-50,63
214,Black,Men,30-40,3
214,Hispanic,Men,40-50,183
214,Black,Men,50-60,38
214,Hispanic,Men,30-40,1
214,Black,Women,50-60,9
214,White,Men,30-40,1
214,White,Men,40-50,197
214,Unknown-Not-Listed,Women,40-50,1
214,White,Men,50-60,10
214,Asian,Men,40-50,10
215,White,Men,60-70,1
215,White,Men,30-40,1
215,White,Women,50-60,4
215,Unknown-Not-Listed,Women,40-50,1
215,Asian,Women,40-50,6
215,Asian,Men,40-50,25
215,Hispanic,Women,40-50,82
215,White,Women,30-40,1
215,Black,Women,50-60,7
215,Black,Men,30-40,7
215,Hispanic,Men,40-50,413
215,Black,Men,40-50,634
215,Black,Women,40-50,250
215,White,Men,50-60,8
215,Unknown-Not-Listed,Men,40-50,3
215,Black,Men,50-60,50
215,Hispanic,Men,60-70,1
215,Black,Women,30-40,2
215,Hispanic,Men,50-60,8
215,Hispanic,Women,30-40,1
215,White,Men,40-50,349
215,Hispanic,Men,20-30,1
215,White,Women,40-50,123
216,Hispanic,Men,50-60,5
216,Asian,Women,40-50,4
216,Hispanic,Men,40-50,264
216,Hispanic,Women,40-50,57
216,Black,Men,40-50,518
216,Hispanic,Men,30-40,3
216,White,Men,40-50,243
216,White,Women,50-60,1
216,Unknown-Not-Listed,Women,40-50,5
216,Black,Women,40-50,212
216,Black,Men,50-60,31
216,Asian,Men,40-50,12
216,White,Women,30-40,3
216,White,Women,40-50,80
216,Unknown-Not-Listed,Men,40-50,8
216,White,Men,30-40,2
216,Black,Women,30-40,2
216,Black,Women,50-60,3
216,White,Men,50-60,2
216,Black,Men,30-40,3
217,White,Women,40-50,21
217,Unknown-Not-Listed,Men,40-50,1
217,Asian,Men,40-50,2
217,White,Men,20-30,1
217,Hispanic,Men,40-50,110
217,White,Women,50-60,1
217,White,Men,50-60,8
217,Black,Women,40-50,67
217,Black,Men,50-60,35
217,White,Men,40-50,66
217,Black,Women,20-30,1
217,Black,Men,40-50,257
217,Asian,Men,50-60,1
217,Hispanic,Men,50-60,5
217,Black,Women,50-60,2
217,Hispanic,Women,40-50,12
217,Black,Men,30-40,2
217,Asian,Women,40-50,2
217,White,Men,30-40,2
218,Black,Men,60-70,2
218,White,Men,50-60,1
218,White,Women,50-60,1
218,White,Men,30-40,2
218,Hispanic,Men,50-60,3
218,Unknown-Not-Listed,Men,40-50,1
218,Hispanic,Men,60-70,1
218,White,Men,40-50,55
218,Hispanic,Men,40-50,69
218,Black,Women,40-50,76
218,Asian,Women,40-50,1
218,Hispanic,Women,40-50,7
218,Black,Men,40-50,236
218,Asian,Men,40-50,1
218,Black,Women,50-60,6
218,White,Women,40-50,18
218,Black,Men,50-60,33
219,Black,Other,40-50,1
219,Hispanic,Men,20-30,1
219,Hispanic,Men,40-50,406
219,Black,Men,20-30,1
219,Asian,Men,50-60,1
219,Unknown-Not-Listed,Women,40-50,1
219,Hispanic,Women,30-40,1
219,White,Men,50-60,6
219,White,Men,40-50,357
219,Unknown-Not-Listed,Men,40-50,13
219,Hispanic,Men,50-60,6
219,Hispanic,Men,30-40,6
219,Black,Women,50-60,7
219,Black,Men,30-40,7
219,Asian,Men,40-50,25
219,Black,Men,40-50,598
219,Hispanic,Women,50-60,2
219,White,Men,30-40,3
219,Black,Women,40-50,194
219,Black,Women,30-40,2
219,Asian,Women,40-50,11
219,White,Women,40-50,93
219,Hispanic,Women,40-50,89
219,Black,Men,50-60,39
219,White,Women,30-40,3
220,White,Men,40-50,424
220,Hispanic,Women,40-50,124
220,Black,Men,40-50,769
220,Unknown-Not-Listed,Men,40-50,14
220,White,Women,50-60,5
220,White,Women,40-50,149
220,Black,Women,30-40,2
220,Black,Men,30-40,9
220,Unknown-Not-Listed,Men,50-60,1
220,White,Men,50-60,6
220,White,Women,30-40,1
220,Hispanic,Women,30-40,1
220,Asian,Women,40-50,7
220,Unknown-Not-Listed,Women,40-50,1
220,Hispanic,Men,20-30,1
220,White,Men,30-40,7
220,Asian,Men,40-50,40
220,Hispanic,Men,40-50,497
220,Black,Women,40-50,326
220,Black,Men,50-60,44
220,Hispanic,Men,50-60,1
220,Black,Men,60-70,1
220,Hispanic,Men,30-40,4
221,Hispanic,Men,40-50,80
221,Black,Men,30-40,1
221,Black,Women,20-30,1
221,White,Men,30-40,1
221,Hispanic,Men,50-60,1
221,White,Women,40-50,11
221,Black,Women,50-60,6
221,Hispanic,Men,30-40,3
221,Asian,Men,40-50,2
221,Black,Men,50-60,22
221,Hispanic,Women,40-50,9
221,White,Men,20-30,1
221,Unknown-Not-Listed,Men,40-50,1
221,Black,Women,40-50,70
221,Black,Men,40-50,220
221,White,Men,40-50,72
221,White,Men,50-60,3
222,Asian,Men,40-50,5
222,Unknown-Not-Listed,Men,40-50,2
222,White,Men,40-50,84
222,Black,Men,40-50,311
222,White,Men,50-60,2
222,White,Men,30-40,2
222,Black,Women,50-60,3
222,Hispanic,Men,30-40,3
222,Black,Men,30-40,3
222,White,Women,40-50,40
222,Hispanic,Men,40-50,91
222,Black,Women,40-50,86
222,Hispanic,Men,50-60,2
222,Hispanic,Women,30-40,1
222,Hispanic,Women,40-50,16
222,Black,Men,50-60,21
222,Asian,Men,50-60,1
222,Asian,Women,40-50,1
222,Black,Women,30-40,1
222,Black,Men,60-70,1
222,Hispanic,Men,<20,1
223,White,Other,40-50,1
223,White,Women,30-40,1
223,Unknown-Not-Listed,Women,40-50,2
223,Hispanic,Men,30-40,1
223,Hispanic,Women,40-50,47
223,Hispanic,Men,40-50,257
223,Asian,Men,40-50,19
223,Black,Men,30-40,5
223,Unknown-Not-Listed,Men,40-50,2
223,White,Men,30-40,4
223,White,Men,40-50,210
223,Black,Women,50-60,6
223,White,Women,40-50,65
223,Black,Men,40-50,443
223,Hispanic,Men,50-60,3
223,Black,Women,30-40,3
223,Black,Women,40-50,155
223,White,Men,50-60,6
223,Black,Men,50-60,30
223,Asian,Women,40-50,3
224,White,Men,40-50,422
224,Unknown-Not-Listed,Women,40-50,4
224,Hispanic,Women,30-40,4
224,Unknown-Not-Listed,Women,30-40,1
224,Black,Men,20-30,1
224,Asian,Women,40-50,12
224,White,Men,50-60,1
224,Hispanic,Men,20-30,1
224,White,Women,30-40,1
224,Hispanic,Men,40-50,475
224,Hispanic,Men,50-60,1
224,Black,Women,30-40,4
224,White,Women,40-50,116
224,Hispanic,Men,30-40,4
224,Black,Men,50-60,23
224,Black,Men,40-50,703
224,Black,Men,30-40,7
224,Hispanic,Women,40-50,131
224,White,Men,30-40,9
224,Black,Women,40-50,316
224,Black,Women,50-60,4
224,Unknown-Not-Listed,Men,40-50,7
224,Asian,Men,40-50,18
225,Black,Men,40-50,515
225,White,Men,40-50,270
225,Asian,Men,40-50,10
225,White,Women,40-50,92
225,Asian,Women,40-50,4
225,Black,Men,50-60,9
225,Unknown-Not-Listed,Men,40-50,7
225,Black,Women,40-50,194
225,White,Women,50-60,2
225,White,Women,30-40,2
225,Hispanic,Women,40-50,69
225,White,Men,50-60,3
225,White,Men,30-40,5
225,Black,Women,30-40,3
225,Unknown-Not-Listed,Women,40-50,3
225,Black,Men,30-40,11
225,Black,Women,50-60,4
225,Hispanic,Men,30-40,4
225,Unknown-Not-Listed,Men,30-40,1
225,Hispanic,Men,40-50,291
226,Hispanic,Men,40-50,122
226,White,Men,30-40,4
226,White,Men,40-50,79
226,Black,Men,30-40,8
226,Black,Women,40-50,82
226,Hispanic,Men,30-40,6
226,Hispanic,Women,40-50,16
226,Black,Men,40-50,312
226,Black,Women,30-40,4
226,Hispanic,Men,20-30,2
226,White,Women,30-40,1
226,Black,Men,50-60,13
226,Unknown-Not-Listed,Men,40-50,4
226,White,Women,40-50,35
226,Asian,Women,40-50,3
226,Black,Men,20-30,1
226,Asian,Men,40-50,5
226,Hispanic,Men,50-60,1
226,White,Men,50-60,1
226,Unknown-Not-Listed,Women,40-50,2
227,White,Men,50-60,3
227,Hispanic,Men,40-50,281
227,Asian,Women,40-50,8
227,Unknown-Not-Listed,Men,40-50,12
227,Black,Women,30-40,5
227,White,Women,30-40,2
227,Hispanic,Men,30-40,6
227,Asian,Men,40-50,13
227,Hispanic,Women,30-40,1
227,Black,Men,30-40,9
227,Hispanic,Women,40-50,59
227,White,Men,40-50,245
227,Black,Women,50-60,5
227,White,Women,40-50,59
227,Black,Women,40-50,155
227,White,Men,20-30,2
227,Black,Men,50-60,22
227,White,Men,30-40,2
227,Unknown-Not-Listed,Women,40-50,5
227,Hispanic,Women,20-30,1
227,Black,Women,20-30,1
227,Black,Men,40-50,556
228,Black,Women,40-50,183
228,Black,Men,30-40,7
228,Hispanic,Women,40-50,64
228,White,Women,50-60,1
228,White,Men,40-50,228
228,White,Women,40-50,76
228,Unknown-Not-Listed,Men,40-50,6
228,Hispanic,Women,30-40,1
228,Hispanic,Men,20-30,1
228,Asian,Men,40-50,8
228,Asian,Women,30-40,1
228,White,Men,50-60,2
228,White,Women,30-40,3
228,White,Men,30-40,3
228,Unknown-Not-Listed,Women,40-50,3
228,Black,Men,40-50,466
228,Asian,Women,40-50,3
228,Unknown-Not-Listed,Men,30-40,1
228,Black,Women,20-30,1
228,Hispanic,Men,30-40,10
228,Hispanic,Men,40-50,263
228,Black,Men,20-30,2
228,Black,Men,60-70,2
228,Black,Women,50-60,4
228,Black,Women,30-40,4
228,Hispanic,Men,50-60,4
228,Black,Men,50-60,28
229,Hispanic,Women,30-40,3
229,White,Men,50-60,3
229,Hispanic,Men,40-50,627
229,White,Women,30-40,8
229,Black,Women,30-40,7
229,Hispanic,Men,50-60,2
229,Unknown-Not-Listed,Women,30-40,1
229,Asian,Men,40-50,25
229,White,Men,40-50,494
229,Hispanic,Men,30-40,19
229,Hispanic,Men,20-30,1
229,White,Men,30-40,21
229,Asian,Men,30-40,1
229,Black,Men,30-40,31
229,Asian,Women,40-50,7
229,Unknown-Not-Listed,Men,40-50,11
229,Hispanic,Women,40-50,147
229,Black,Men,40-50,816
229,Hispanic,Men,60-70,1
229,Black,Men,50-60,9
229,Unknown-Not-Listed,Women,40-50,1
229,White,Women,40-50,173
229,Black,Women,40-50,349
230,Hispanic,Women,30-40,2
230,Unknown-Not-Listed,Men,40-50,2
230,White,Men,50-60,2
230,Asian,Women,40-50,2
230,Black,Men,30-40,11
230,Black,Women,50-60,1
230,White,Women,40-50,31
230,Asian,Men,40-50,2
230,Hispanic,Men,40-50,116
230,White,Men,30-40,3
230,Black,Women,30-40,3
230,White,Women,30-40,1
230,Hispanic,Men,50-60,2
230,Hispanic,Men,30-40,8
230,Black,Men,50-60,16
230,Black,Men,40-50,283
230,Black,Women,40-50,75
230,Hispanic,Women,40-50,18
230,White,Men,40-50,73
231,Asian,Men,40-50,2
231,Black,Men,30-40,11
231,Unknown-Not-Listed,Men,40-50,1
231,Black,Men,40-50,298
231,Hispanic,Women,40-50,19
231,Hispanic,Men,30-40,5
231,Black,Women,30-40,2
231,White,Men,50-60,3
231,Black,Men,50-60,15
231,Unknown-Not-Listed,Women,40-50,1
231,White,Women,30-40,1
231,Black,Women,50-60,1
231,White,Women,40-50,20
231,Hispanic,Women,30-40,2
231,White,Men,40-50,68
231,Hispanic,Men,40-50,92
231,Asian,Women,40-50,1
231,White,Men,30-40,5
231,Asian,Men,50-60,1
231,Black,Men,20-30,1
231,Black,Women,40-50,46
231,Hispanic,Men,50-60,2
232,White,Men,40-50,354
232,Unknown-Not-Listed,Women,40-50,3
232,Black,Men,50-60,12
232,Unknown-Not-Listed,Men,50-60,1
232,Asian,Women,40-50,9
232,Hispanic,Men,30-40,25
232,White,Women,30-40,2
232,Hispanic,Men,40-50,488
232,Black,Women,<20,1
232,White,Women,40-50,119
232,Black,Women,40-50,266
232,Asian,Men,40-50,41
232,Black,Women,30-40,10
232,Black,Women,50-60,4
232,White,Men,30-40,17
232,White,Men,50-60,3
232,Asian,Women,30-40,1
232,Hispanic,Women,30-40,5
232,Black,Men,40-50,710
232,Hispanic,Men,20-30,1
232,Black,Men,30-40,39
232,Unknown-Not-Listed,Men,40-50,15
232,Hispanic,Women,40-50,106
233,Unknown-Not-Listed,Men,40-50,9
233,White,Women,30-40,6
233,Black,Women,30-40,24
233,Hispanic,Women,30-40,1
233,Hispanic,Men,40-50,314
233,White,Men,50-60,2
233,Black,Women,40-50,201
233,Black,Men,40-50,480
233,Hispanic,Women,40-50,79
233,Hispanic,Men,30-40,37
233,Unknown-Not-Listed,Women,40-50,3
233,White,Women,20-30,1
233,White,Men,40-50,245
233,White,Men,30-40,19
233,Black,Men,50-60,15
233,Black,Men,60-70,1
233,Unknown-Not-Listed,Men,30-40,1
233,Asian,Men,30-40,4
233,Asian,Women,40-50,4
233,Black,Men,30-40,62
233,White,Women,40-50,61
233,Asian,Men,40-50,13
233,Hispanic,Men,50-60,1
233,White,Men,20-30,1
234,Black,Men,20-30,1
234,Black,Women,30-40,9
234,Black,Men,60-70,1
234,White,Men,30-40,17
234,Black,Men,50-60,12
234,Asian,Men,40-50,9
234,White,Women,30-40,4
234,White,Men,50-60,1
234,Unknown-Not-Listed,Men,40-50,7
234,Hispanic,Men,30-40,15
234,Hispanic,Women,30-40,4
234,White,Women,40-50,92
234,Hispanic,Women,40-50,89
234,Black,Men,30-40,42
234,Asian,Women,40-50,6
234,Black,Women,50-60,2
234,Unknown-Not-Listed,Women,40-50,1
234,Hispanic,Men,40-50,377
234,Black,Men,40-50,630
234,White,Men,40-50,263
234,Black,Women,40-50,224
235,Hispanic,Men,30-40,23
235,Black,Men,40-50,309
235,Black,Men,<20,1
235,Hispanic,Men,40-50,137
235,Hispanic,Women,40-50,18
235,White,Women,30-40,3
235,Black,Women,40-50,83
235,Black,Women,30-40,12
235,Black,Men,60-70,1
235,Black,Women,50-60,5
235,White,Men,40-50,84
235,Hispanic,Men,50-60,1
235,Asian,Women,40-50,3
235,Unknown-Not-Listed,Men,40-50,1
235,Unknown-Not-Listed,Women,40-50,1
235,White,Men,30-40,10
235,Asian,Men,40-50,2
235,Asian,Men,30-40,2
235,Black,Men,50-60,10
235,Black,Men,30-40,39
235,White,Women,40-50,28
235,White,Women,20-30,1
235,Unknown-Not-Listed,Men,30-40,2
235,White,Men,50-60,1
235,White,Men,20-30,1
235,Hispanic,Women,30-40,5
236,Hispanic,Women,30-40,9
236,White,Men,30-40,26
236,White,Men,40-50,192
236,Hispanic,Men,50-60,2
236,White,Men,50-60,1
236,Black,Women,50-60,4
236,Black,Men,30-40,77
236,Black,Women,40-50,138
236,Asian,Men,40-50,22
236,Asian,Men,30-40,2
236,Black,Men,50-60,12
236,Unknown-Not-Listed,Men,40-50,5
236,Unknown-Not-Listed,Women,40-50,3
236,White,Women,40-50,54
236,Black,Women,30-40,23
236,Hispanic,Men,20-30,1
236,Asian,Women,40-50,2
236,Hispanic,Women,40-50,65
236,Hispanic,Men,40-50,230
236,White,Women,30-40,9
236,Hispanic,Men,30-40,61
236,Black,Men,40-50,497
237,Hispanic,Men,40-50,630
237,White,Men,20-30,2
237,Black,Women,30-40,17
237,Black,Men,40-50,612
237,Hispanic,Men,30-40,37
237,White,Women,40-50,101
237,Asian,Men,<20,1
237,Black,Men,50-60,7
237,Hispanic,Men,20-30,2
237,Black,Women,40-50,288
237,Black,Men,30-40,74
237,Hispanic,Women,30-40,11
237,Hispanic,Women,40-50,176
237,Asian,Men,40-50,30
237,White,Men,30-40,33
237,White,Men,50-60,2
237,Unknown-Not-Listed,Men,40-50,16
237,White,Women,30-40,8
237,Black,Women,50-60,1
237,Hispanic,Other,40-50,1
237,Asian,Women,40-50,9
237,Unknown-Not-Listed,Women,40-50,4
237,Black,Men,20-30,1
237,Asian,Women,30-40,1
237,White,Men,40-50,399
237,Black,Men,60-70,1
238,Black,Men,50-60,8
238,Black,Women,50-60,3
238,Black,Women,20-30,1
238,Hispanic,Men,40-50,116
238,Hispanic,Women,20-30,1
238,Black,Men,40-50,303
238,Unknown-Not-Listed,Women,30-40,1
238,White,Men,20-30,1
238,Asian,Men,40-50,3
238,Hispanic,Women,30-40,82
238,Black,Women,30-40,151
238,Unknown-Not-Listed,Men,40-50,3
238,Asian,Women,30-40,7
238,White,Men,40-50,70
238,Black,Men,20-30,2
238,Black,Women,40-50,72
238,Hispanic,Women,40-50,15
238,Black,Men,30-40,271
238,Unknown-Not-Listed,Men,30-40,3
238,Hispanic,Men,30-40,373
238,White,Other,30-40,1
238,White,Women,30-40,58
238,Unknown-Not-Listed,Women,40-50,2
238,White,Women,40-50,20
238,White,Men,30-40,218
238,Asian,Men,30-40,22
239,Black,Women,30-40,9
239,White,Men,30-40,11
239,Unknown-Not-Listed,Women,40-50,2
239,Asian,Men,40-50,3
239,Black,Women,40-50,59
239,White,Men,50-60,2
239,White,Men,40-50,63
239,Hispanic,Women,40-50,18
239,Black,Men,50-60,11
239,Unknown-Not-Listed,Men,40-50,5
239,Hispanic,Women,30-40,7
239,Black,Men,20-30,1
239,Black,Men,40-50,274
239,White,Women,30-40,6
239,Hispanic,Men,50-60,1
239,Hispanic,Men,<20,1
239,Hispanic,Men,20-30,1
239,Black,Men,<20,1
239,Hispanic,Men,40-50,123
239,White,Women,40-50,21
239,Black,Women,50-60,2
239,Hispanic,Men,30-40,20
239,Black,Men,30-40,64
239,Asian,Women,40-50,1
240,Black,Men,50-60,7
240,White,Men,30-40,27
240,Black,Men,40-50,219
240,White,Men,50-60,1
240,Black,Men,20-30,4
240,Hispanic,Men,40-50,64
240,White,Women,30-40,13
240,Black,Men,<20,1
240,Hispanic,Women,30-40,12
240,Asian,Men,40-50,2
240,Hispanic,Women,<20,1
240,White,Women,40-50,12
240,Asian,Women,40-50,1
240,Black,Women,40-50,41
240,Asian,Women,30-40,1
240,Hispanic,Men,30-40,55
240,White,Men,40-50,39
240,Black,Men,30-40,80
240,Black,Women,30-40,18
240,Hispanic,Women,40-50,3
240,Black,Women,50-60,1
241,Black,Women,40-50,248
241,Black,Men,50-60,4
241,Hispanic,Women,30-40,12
241,Hispanic,Men,40-50,551
241,Asian,Men,40-50,24
241,Black,Women,30-40,34
241,White,Women,30-40,13
241,Black,Men,30-40,142
241,Unknown-Not-Listed,Men,40-50,9
241,Hispanic,Women,40-50,152
241,Black,Men,20-30,1
241,Black,Men,60-70,1
241,Black,Men,<20,1
241,Unknown-Not-Listed,Men,30-40,1
241,White,Men,50-60,1
241,White,Men,30-40,41
241,Black,Men,40-50,641
241,White,Men,40-50,304
241,White,Women,40-50,137
241,Asian,Women,40-50,8
241,Hispanic,Men,30-40,68
241,Unknown-Not-Listed,Women,40-50,2
242,White,Men,30-40,376
242,Black,Women,<20,1
242,Black,Women,20-30,1
242,Asian,Women,40-50,1
242,Unknown-Not-Listed,Women,30-40,5
242,Hispanic,Men,40-50,75
242,Black,Men,40-50,237
242,White,Men,40-50,61
242,Black,Women,30-40,306
242,Black,Men,20-30,1
242,Black,Women,40-50,57
242,Unknown-Not-Listed,Women,40-50,1
242,White,Women,30-40,139
242,Asian,Men,30-40,24
242,Asian,Men,40-50,2
242,White,Men,50-60,1
242,Hispanic,Women,20-30,1
242,Unknown-Not-Listed,Men,40-50,1
242,Asian,Women,30-40,14
242,Unknown-Not-Listed,Men,30-40,8
242,White,Women,40-50,13
242,Hispanic,Other,30-40,1
242,Black,Men,50-60,7
242,Hispanic,Women,40-50,8
242,Black,Men,30-40,595
242,Hispanic,Women,30-40,154
242,Hispanic,Men,30-40,712
242,Hispanic,Men,20-30,2
243,Black,Women,30-40,35
243,Black,Men,<20,1
243,Asian,Women,40-50,1
243,Black,Men,30-40,106
243,Asian,Women,30-40,1
243,Asian,Men,40-50,1
243,Black,Women,40-50,41
243,Black,Men,50-60,5
243,Hispanic,Men,40-50,85
243,Black,Women,50-60,2
243,Asian,Men,30-40,3
243,Hispanic,Women,40-50,11
243,White,Women,30-40,14
243,Black,Men,40-50,194
243,Hispanic,Women,30-40,6
243,Hispanic,Men,30-40,46
243,White,Women,40-50,15
243,White,Men,40-50,44
243,White,Men,30-40,46
244,Hispanic,Men,20-30,3
244,Hispanic,Women,40-50,5
244,White,Men,30-40,62
244,Black,Men,40-50,187
244,Unknown-Not-Listed,Men,40-50,2
244,Black,Women,30-40,41
244,Black,Men,50-60,5
244,Black,Men,30-40,193
244,Asian,Men,30-40,1
244,Asian,Men,40-50,1
244,Asian,Women,30-40,1
244,Black,Women,<20,1
244,Hispanic,Men,40-50,44
244,Hispanic,Men,50-60,1
244,Hispanic,Women,20-30,1
244,Unknown-Not-Listed,Men,30-40,1
244,Hispanic,Men,30-40,154
244,Black,Women,50-60,3
244,Unknown-Not-Listed,Women,30-40,1
244,Hispanic,Women,30-40,28
244,Black,Women,40-50,26
244,White,Men,40-50,21
244,White,Women,30-40,29
244,White,Women,40-50,7
245,Unknown-Not-Listed,Men,40-50,2
245,Hispanic,Men,20-30,1
245,Black,Women,50-60,1
245,Hispanic,Men,40-50,272
245,White,Women,40-50,49
245,Unknown-Not-Listed,Women,40-50,2
245,Unknown-Not-Listed,Men,30-40,4
245,Hispanic,Women,30-40,9
245,Asian,Women,40-50,9
245,Hispanic,Men,50-60,1
